OMNIWeb Plus Browser Results

Listing for omni_min data from 20140218 to 20140223
Selected parameters:
 1 ID for IMF spacecraft
 2 Field magnitude average, nT
 3 BZ, nT (GSM)
 4 Speed, km/s
 5 Proton Density, n/cc
 6 Proton Temperature, K
 7 Flow pressure, nPa

YYYY DOY HR MN  1      2       3       4      5        6     7 
2014  49  3 14 51    3.89   -0.01   358.0   2.16   58811.  0.55
2014  49  3 15 51    3.81   -0.53   361.3   2.01   50659.  0.52
2014  49  3 16 51    3.94    0.48   364.7   1.89   46388.  0.50
2014  49  3 17 51    3.86    0.52   356.7   2.18   49383.  0.55
2014  49  3 18 51    3.78    0.77   349.7   1.93   44484.  0.47
2014  49  3 19 51    3.73    0.60   345.0   1.87   44192.  0.45
2014  49  3 20 51    3.71    0.86 99999.9 999.99 9999999. 99.99
2014  49  3 21 51    3.69    1.03 99999.9 999.99 9999999. 99.99
2014  49  3 22 51    3.70    1.09 99999.9 999.99 9999999. 99.99
2014  49  3 23 51    3.74    1.29 99999.9 999.99 9999999. 99.99
2014  49  3 24 51    3.67    1.14   339.2   2.01   65009.  0.46
2014  49  3 25 51    4.04    1.45   339.2   2.01   65009.  0.46
2014  49  3 26 51    4.03    1.36   339.2   2.01   65009.  0.46
2014  49  3 27 51    4.04    1.45 99999.9 999.99 9999999. 99.99
2014  49  3 28 51    3.87    0.77 99999.9 999.99 9999999. 99.99
2014  49  3 29 51    4.11    1.58   341.2   1.84   36280.  0.43
2014  49  3 30 51    4.05    1.56   339.7   1.79   33756.  0.41
2014  49  3 31 51    4.19    1.75   337.7   1.73   30356.  0.39
2014  49  3 32 51    4.00    1.65   346.7   1.88   37601.  0.45
2014  49  3 33 51    4.17    1.79   346.8   1.88   37640.  0.45
2014  49  3 34 51    4.18    1.47   363.2   2.01   44599.  0.53
2014  49  3 35 51    4.19    1.72   365.2   1.65   32980.  0.44
2014  49  3 36 51    4.21    1.51   348.7   1.83   38178.  0.45
2014  49  3 37 51    4.14    1.16   352.2   1.86   41951.  0.46
2014  49  3 38 51    4.18    1.32   351.7   1.93   43918.  0.48
2014  49  3 39 51    4.18    0.57   359.7   2.03   35490.  0.53
2014  49  3 40 51    4.08    1.20   359.7   2.03   35490.  0.53
2014  49  3 41 51    4.17    1.27   359.7   2.03   35530.  0.53
2014  49  3 42 51    4.21    1.04   352.5   1.89   47364.  0.47
2014  49  3 43 51    4.00    0.26   352.5   1.89   47364.  0.47
2014  49  3 44 51    4.16    1.96 99999.9 999.99 9999999. 99.99
2014  49  3 45 51    4.08    0.99 99999.9 999.99 9999999. 99.99
2014  49  3 46 51    3.67   -0.54 99999.9 999.99 9999999. 99.99
2014  49  3 47 51    3.89    0.72   347.3   1.91   49994.  0.46
2014  49  3 48 51    3.86    0.24   346.3   1.97   53677.  0.47
2014  49  3 49 51    3.93    0.74   356.5   2.26   60069.  0.57
2014  49  3 50 51    3.83    0.69   356.5   2.26   60069.  0.57
